genres,movie_count
Comedy|Crime|Romance|Thriller,2
Biography|Drama|Music,2
Action|Adventure|Thriller|War,2
Comedy|Western,2
Comedy|Drama|Family|Fantasy,2
Drama|Romance|Sport,2
Drama|Fantasy|Horror,2
Drama|Fantasy,2
Adventure|Comedy|Fantasy,2
Comedy|Sci-Fi,2
Comedy|Drama|Music,2
Horror|Thriller,2
Drama|Mystery|Sci-Fi,2
Drama|Romance|War,2
Action|Horror,2
Drama|Family|Fantasy,2
Adventure|Comedy|Family|Fantasy|Sci-Fi,2
Comedy|Crime|Thriller,2
Adventure|Drama|Western,2
Drama|Horror|Mystery|Thriller,2
Drama|Music,2
Biography|Drama|Romance,2
Comedy|Music,2
Biography|Drama|Music|Musical,2
Drama|History,2
Drama|Family,2
Biography|Drama|War,2
Documentary,1
Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,1
Animation|Drama|Family|Fantasy,1
Adventure|Drama|Family|Mystery,1
Action|Comedy|Sci-Fi|Western,1
Action|Adventure|Fantasy|Horror|Thriller,1
Adventure|Animation|Comedy|Drama|Family|Fantasy,1
Action|Adventure|Family|Fantasy|Romance,1
Action|Adventure|Family|Mystery|Sci-Fi,1
Adventure|Sci-Fi,1
Action|Adventure|Biography|Drama|History|Romance|War,1
Action|Drama,1
Drama|Horror|Sci-Fi,1
Adventure|Animation|Comedy|Family|Fantasy|Musical,1
Drama|Fantasy|Horror|Thriller,1
Adventure,1
Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,1
Action|Adventure|Animation|Fantasy,1
Action|Drama|Mystery|Sci-Fi,1
Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,1
Animation|Comedy|Family|Musical,1
Adventure|Drama|Thriller|Western,1
Adventure|Animation|Comedy|Family|Western,1
Action|Adventure|Family|Mystery,1
Adventure|Animation|Family|Thriller,1
Fantasy,1
Action|Family|Sport,1
Action|Adventure|Comedy|Family|Fantasy,1
Action|Comedy|Crime|Sci-Fi|Thriller,1
