director_name,avg_score
"John Singleton",5.6000000000000005
"Joseph Ruben",5.6
"Walter Salles",5.6
"Karey Kirkpatrick",5.6
"Steve Oedekerk",5.6
"David Gordon Green",5.6
"Brian Gibson",5.6
"Luis Mandoki",5.6
"Gary Chapman",5.6
"Stephen Herek",5.575
"Chuck Russell",5.566666666666666
"Michael Caton-Jones",5.566666666666666
"William Friedkin",5.55
"Will Finn",5.5
"Scott Derrickson",5.5
"Michael Lembeck",5.5
"Peter Billingsley",5.5
"Karyn Kusama",5.5
"Paul Hunter",5.5
"John Landis",5.5
"Jim Sheridan",5.5
"Patrick Lussier",5.5
"Joan Chen",5.5
"Tom Dey",5.466666666666666
"Joe Roth",5.45
"Walt Becker",5.433333333333334
"Mick Jackson",5.4
"Doug Lefler",5.4
"Geoff Murphy",5.4
"Hideo Nakata",5.4
"John Schultz",5.4
"Danny Pang",5.4
"Reginald Hudlin",5.4
"Chris Rock",5.4
"Brad Peyton",5.3999999999999995
"Dennis Dugan",5.383333333333333
"Chris Weitz",5.35
"Andrey Konchalovskiy",5.35
"Sam Weisman",5.35
"Betty Thomas",5.300000000000001
"Jimmy Hayward",5.300000000000001
"Ericson Core",5.3
"Kevin Donovan",5.3
"Jim Gillespie",5.3
"David Zucker",5.3
"John Gray",5.3
"Julie Anne Robinson",5.3
"Charles S. Dutton",5.3
"Fedor Bondarchuk",5.3
"Alan Poul",5.3
"Raja Gosnell",5.266666666666667
"Peter Chelsom",5.25
"John Pasquin",5.25
"Walter Hill",5.25
"Tim Hill",5.233333333333333
"Mark Steven Johnson",5.2
"Barry Cook",5.2
"Gordon Chan",5.2
"Mark A.Z. Dipp̩",5.2
"Steve Miner",5.2
"J Blakeson",5.2
"Michael Rymer",5.2
"Kimble Rendall",5.2
"Eric Brevig",5.199999999999999
"Roland Joff̩",5.166666666666667
"Robert Rodriguez",5.139999999999999
"Hoyt Yeatman",5.1
"Fr̩d̩ric Forestier",5.1
"Jan de Bont",5.1
"Stefen Fangmeier",5.1
"Stuart Beattie",5.1
"Jay Chandrasekhar",5.1
"Christian Duguay",5.1
"Stephen Kay",5.1
"Geoffrey Sax",5.1
"Peter Hyams",5.075
"Brian Robbins",5.066666666666667
"Andy Fickman",5.050000000000001
"Steve Carr",5.05
"Mark Neveldine",5.05
"David McNally",5
"Peter Hewitt",5
"Luis Llosa",5
"David Slade",4.9
"George Armitage",4.9
"Simon Wincer",4.9
"Jamel Debbouze",4.9
"Andrew Bergman",4.8
"Dennie Gordon",4.8
"David Leland",4.8
"Gil Junger",4.8
"Hark Tsui",4.8
"Martin Brest",4.75
"Keenen Ivory Wayans",4.75
"John Whitesell",4.75
"Robert Butler",4.7
"Angela Robinson",4.7
"Colin Strause",4.7
"Diane Keaton",4.7
"Jerry Jameson",4.7
"Ron Underwood",4.699999999999999
"Brian Levant",4.6000000000000005
"Chuck Bowman",4.6
"Paul Bolger",4.5
"Craig Mazin",4.5
"Andrzej Bartkowiak",4.45
"Roger Kumble",4.449999999999999
"Andr̩s Couturier",4.4
"Steven Seagal",4.4
"Marc F. Adler",4.4
"Josh Trank",4.3
"Michael Patrick King",4.3
"Joel Zwick",4.3
"Elaine May",4.2
"Des McAnuff",4.1
"David Kellogg",4.1
"Sam Taylor-Johnson",4.1
"Mic Rodgers",4.1
"Annabel Jankel",4
"Joseph Kahn",4
"Bo Welch",3.8
"Marco Schnabel",3.8
"Uwe Boll",3.8
"Steven E. de Souza",3.8
"Lawrence Guterman",3.7
"Wych Kaosayananda",3.6
Pitof,3.3
"William Malone",3.3
"Terence Young",2.7
"Roger Christian",2.4
"Lawrence Kasanoff",1.7
